bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
3,1849.2,1350,3500,56,2021-07,Worcester,01605,27587,42683
4,2414.29,1700,3200,7,2021-07,Worcester,01605,27587,42683
5,2000.0,2000,2000,1,2021-07,Worcester,01605,27587,42683
6,1950.0,700,3200,4,2021-07,Worcester,01605,27587,42683
0,2145.0,1325,3000,3,2022-01,Worcester,01605,27587,42683
1,1266.67,1200,1300,3,2022-01,Worcester,01605,27587,42683
2,1474.52,900,1900,21,2022-01,Worcester,01605,27587,42683
3,1999.58,1350,3500,24,2022-01,Worcester,01605,27587,42683
4,2237.5,1700,3200,4,2022-01,Worcester,01605,27587,42683
5,2000.0,2000,2000,1,2022-01,Worcester,01605,27587,42683
0,2140.0,1325,3000,3,2022-02,Worcester,01605,27587,42683
1,1639.0,1200,2150,5,2022-02,Worcester,01605,27587,42683
2,1564.77,1200,2290,22,2022-02,Worcester,01605,27587,42683
3,2041.3,1350,3500,23,2022-02,Worcester,01605,27587,42683
4,2312.5,1700,3500,4,2022-02,Worcester,01605,27587,42683
0,2120.0,1275,3000,3,2022-03,Worcester,01605,27587,42683
1,1565.0,1195,2150,6,2022-03,Worcester,01605,27587,42683
2,1659.62,1200,2550,26,2022-03,Worcester,01605,27587,42683
3,1890.91,1500,3000,22,2022-03,Worcester,01605,27587,42683
4,2500.0,2000,3500,4,2022-03,Worcester,01605,27587,42683
0,2178.33,1275,3000,3,2022-04,Worcester,01605,27587,42683
1,2045.31,1195,2595,16,2022-04,Worcester,01605,27587,42683
2,2061.18,1400,2935,38,2022-04,Worcester,01605,27587,42683
3,1894.74,1500,3000,19,2022-04,Worcester,01605,27587,42683
4,2742.86,1900,4500,7,2022-04,Worcester,01605,27587,42683
0,1862.5,1390,2335,2,2022-05,Worcester,01605,27587,42683
1,2177.38,1195,2695,21,2022-05,Worcester,01605,27587,42683
2,2127.44,1400,2935,41,2022-05,Worcester,01605,27587,42683
3,1904.52,1395,3000,21,2022-05,Worcester,01605,27587,42683
4,2833.33,1900,4500,6,2022-05,Worcester,01605,27587,42683
6,700.0,700,700,1,2022-05,Worcester,01605,27587,42683
0,1480.0,700,2350,3,2022-06,Worcester,01605,27587,42683
1,2218.86,900,2865,22,2022-06,Worcester,01605,27587,42683
2,2104.55,1400,2935,44,2022-06,Worcester,01605,27587,42683
3,1989.55,1395,3800,22,2022-06,Worcester,01605,27587,42683
4,2600.0,1900,4500,8,2022-06,Worcester,01605,27587,42683
6,700.0,700,700,1,2022-06,Worcester,01605,27587,42683
0,1485.0,700,2365,3,2022-07,Worcester,01605,27587,42683
1,2214.32,900,2865,22,2022-07,Worcester,01605,27587,42683
2,2074.89,1395,2935,46,2022-07,Worcester,01605,27587,42683
