bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
2,3079.72,1700,6495,264,2022-02,Boston,02128,47804,63378
3,2944.59,1750,5400,145,2022-02,Boston,02128,47804,63378
4,3363.0,2500,5000,80,2022-02,Boston,02128,47804,63378
5,4240.0,3500,4750,5,2022-02,Boston,02128,47804,63378
0,2413.88,925,6000,58,2022-03,Boston,02128,47804,63378
1,2356.89,615,4125,234,2022-03,Boston,02128,47804,63378
2,3022.53,1700,6395,297,2022-03,Boston,02128,47804,63378
3,2964.58,1750,5250,191,2022-03,Boston,02128,47804,63378
4,3507.92,2500,5000,106,2022-03,Boston,02128,47804,63378
5,4035.71,3500,4750,7,2022-03,Boston,02128,47804,63378
6,4300.0,4200,4400,2,2022-03,Boston,02128,47804,63378
0,2409.89,975,6000,55,2022-04,Boston,02128,47804,63378
1,2466.92,615,4125,245,2022-04,Boston,02128,47804,63378
2,3050.5,1700,6010,352,2022-04,Boston,02128,47804,63378
3,2977.68,1750,5250,220,2022-04,Boston,02128,47804,63378
4,3489.61,2000,5000,116,2022-04,Boston,02128,47804,63378
5,4092.5,3500,4750,10,2022-04,Boston,02128,47804,63378
6,4300.0,4200,4400,2,2022-04,Boston,02128,47804,63378
0,2333.83,975,6000,66,2022-05,Boston,02128,47804,63378
1,2454.75,750,4125,283,2022-05,Boston,02128,47804,63378
2,3045.74,1600,6510,437,2022-05,Boston,02128,47804,63378
3,2988.11,2100,5250,265,2022-05,Boston,02128,47804,63378
4,3483.03,2000,5000,127,2022-05,Boston,02128,47804,63378
5,3902.0,2500,4750,15,2022-05,Boston,02128,47804,63378
6,4200.0,4000,4400,3,2022-05,Boston,02128,47804,63378
0,2279.48,975,6000,64,2022-06,Boston,02128,47804,63378
1,2438.02,750,3805,303,2022-06,Boston,02128,47804,63378
2,3069.92,1700,6000,482,2022-06,Boston,02128,47804,63378
3,2980.23,2100,5250,286,2022-06,Boston,02128,47804,63378
4,3486.13,2000,5200,137,2022-06,Boston,02128,47804,63378
5,3937.5,2500,4900,16,2022-06,Boston,02128,47804,63378
6,4160.0,4000,4400,5,2022-06,Boston,02128,47804,63378
0,2328.8,975,6000,61,2022-07,Boston,02128,47804,63378
1,2466.03,750,3933,325,2022-07,Boston,02128,47804,63378
2,3086.11,1250,7099,523,2022-07,Boston,02128,47804,63378
3,3013.38,1250,5025,285,2022-07,Boston,02128,47804,63378
4,3521.17,2000,5250,144,2022-07,Boston,02128,47804,63378
5,3946.67,2500,4900,15,2022-07,Boston,02128,47804,63378
6,4433.17,3999,6000,6,2022-07,Boston,02128,47804,63378
0,2346.91,975,6000,57,2022-08,Boston,02128,47804,63378
1,2548.46,1005,3957,318,2022-08,Boston,02128,47804,63378
2,3129.08,1250,6870,504,2022-08,Boston,02128,47804,63378
3,3026.16,1250,5285,243,2022-08,Boston,02128,47804,63378
4,3519.46,2800,5250,113,2022-08,Boston,02128,47804,63378
5,4063.93,2500,4900,14,2022-08,Boston,02128,47804,63378
6,4433.17,3999,6000,6,2022-08,Boston,02128,47804,63378
0,2261.43,975,3951,49,2022-09,Boston,02128,47804,63378
1,2596.56,1005,4188,299,2022-09,Boston,02128,47804,63378
2,3171.7,1250,6884,509,2022-09,Boston,02128,47804,63378
3,3111.4,1250,7500,213,2022-09,Boston,02128,47804,63378
4,3573.94,2495,5250,100,2022-09,Boston,02128,47804,63378
5,4207.31,2500,6000,13,2022-09,Boston,02128,47804,63378
6,4439.8,3999,6000,5,2022-09,Boston,02128,47804,63378
0,2270.72,995,3951,50,2022-10,Boston,02128,47804,63378
1,2571.8,800,3933,278,2022-10,Boston,02128,47804,63378
2,3208.61,1250,6186,459,2022-10,Boston,02128,47804,63378
3,3138.26,1250,7500,176,2022-10,Boston,02128,47804,63378
4,3659.12,2495,5250,86,2022-10,Boston,02128,47804,63378
5,4062.33,2500,6000,15,2022-10,Boston,02128,47804,63378
6,4439.8,3999,6000,5,2022-10,Boston,02128,47804,63378
0,2339.7,975,3951,50,2022-11,Boston,02128,47804,63378
1,2589.17,800,3933,218,2022-11,Boston,02128,47804,63378
2,3261.79,1700,7061,354,2022-11,Boston,02128,47804,63378
3,3166.22,1000,7500,117,2022-11,Boston,02128,47804,63378
4,3687.5,2495,5000,54,2022-11,Boston,02128,47804,63378
5,4127.86,2900,6000,14,2022-11,Boston,02128,47804,63378
6,4066.67,4000,4200,3,2022-11,Boston,02128,47804,63378
